largura_petala,comprimento_petala,classe
5.50,2.30,1
6.50,2.80,1
5.70,2.80,1
6.30,3.30,1
4.90,2.40,1
6.60,2.90,1
5.20,2.70,1
5.00,2.00,1
5.90,3.00,1
6.00,2.20,1
6.10,2.90,1
5.60,2.90,1
6.70,3.10,1
5.60,3.00,1
5.80,2.70,1
6.20,2.20,1
5.60,2.50,1
5.90,3.20,1
6.10,2.80,1
6.30,2.50,1
6.10,2.80,1
6.40,2.90,1
6.60,3.00,1
6.80,2.80,1
6.70,3.00,1
6.00,2.90,1
5.70,2.60,1
5.50,2.40,1
5.50,2.40,1
5.80,2.70,1
6.00,2.70,1
5.40,3.00,1
6.00,3.40,1
6.70,3.10,1
6.30,2.30,1
5.60,3.00,1
5.50,2.50,1
5.50,2.60,1
6.10,3.00,1
5.80,2.60,1
5.00,2.30,1
5.60,2.70,1
5.70,3.00,1
5.70,2.90,1
6.20,2.90,1
5.10,2.50,1
5.70,2.80,1
6.30,3.30,0
5.80,2.70,0
7.10,3.00,0
6.30,2.90,0
6.50,3.00,0
7.60,3.00,0
4.90,2.50,0
7.30,2.90,0
6.70,2.50,0
7.20,3.60,0
6.50,3.20,0
6.40,2.70,0
6.80,3.00,0
5.70,2.50,0
5.80,2.80,0
6.40,3.20,0
6.50,3.00,0
7.70,3.80,0
7.70,2.60,0
6.00,2.20,0
6.90,3.20,0
5.60,2.80,0
7.70,2.80,0
6.30,2.70,0
6.70,3.30,0
7.20,3.20,0
6.20,2.80,0
6.10,3.00,0
6.40,2.80,0
7.20,3.00,0
7.40,2.80,0
7.90,3.80,0
6.40,2.80,0
6.30,2.80,0
6.10,2.60,0
7.70,3.00,0
6.30,3.40,0
6.40,3.10,0
6.00,3.00,0
6.90,3.10,0
6.70,3.10,0
6.90,3.10,0
5.80,2.70,0
6.80,3.20,0
6.70,3.30,0
6.70,3.00,0
6.30,2.50,0
6.50,3.00,0
