"id_usuario";"id_item";"nota";"data-hora"
"283";"70";"4";"1997-11-11 22:30:06"
"213";"100";"5";"1997-11-06 23:45:49"
"269";"444";"3";"1998-04-01 14:32:51"
"741";"699";"4";"1998-03-27 14:06:40"
"527";"156";"3";"1997-11-13 18:25:34"
"290";"139";"2";"1997-11-25 13:30:20"
"92";"8";"5";"1997-09-30 18:15:59"
"705";"28";"4";"1997-12-29 17:34:00"
"66";"282";"3";"1997-12-31 17:47:46"
"404";"269";"4";"1998-01-02 22:25:50"
"452";"514";"3";"1997-09-26 05:09:10"
"193";"218";"4";"1998-03-05 16:38:25"
"791";"306";"5";"1997-11-13 16:06:17"
"83";"186";"4";"1997-11-23 15:10:01"
"7";"151";"4";"1998-03-31 10:59:09"
"489";"288";"4";"1998-03-31 14:51:33"
"85";"13";"3";"1997-11-13 17:27:46"
"401";"198";"4";"1998-03-27 18:16:10"
"438";"21";"2";"1997-11-18 12:58:03"
"562";"132";"4";"1997-11-10 18:02:01"
"763";"941";"3";"1997-11-07 12:19:18"
"121";"282";"1";"1998-03-31 21:03:57"
"279";"154";"5";"1997-09-26 14:51:31"
"82";"22";"3";"1997-11-05 19:42:57"
"325";"480";"4";"1998-04-01 21:54:15"
"918";"1065";"4";"1998-04-07 19:26:42"
"919";"292";"3";"1997-09-26 12:37:33"
"655";"238";"3";"1998-02-14 13:30:31"
"872";"1165";"2";"1998-02-26 04:52:17"
"788";"528";"5";"1997-11-30 02:35:44"
"314";"1291";"1";"1997-10-26 16:01:59"
"145";"591";"4";"1997-11-10 08:37:28"
"394";"39";"4";"1997-11-30 08:15:01"
"732";"288";"4";"1997-12-20 00:56:40"
"454";"222";"3";"1998-02-23 17:46:25"
"899";"31";"3";"1998-01-06 18:18:33"
"251";"50";"5";"1998-01-31 15:41:26"
"451";"873";"5";"1997-11-08 15:11:24"
"450";"22";"5";"1997-12-17 12:51:05"
"295";"404";"4";"1997-11-14 11:39:38"
"385";"221";"5";"1997-12-06 05:47:33"
"332";"1013";"3";"1998-02-19 22:39:58"
"486";"919";"3";"1997-11-18 14:41:42"
"474";"486";"4";"1998-02-19 18:40:25"
"365";"275";"4";"1998-03-30 21:26:59"
"610";"97";"3";"1998-02-28 19:04:13"
"591";"168";"3";"1998-03-27 17:48:44"
"911";"484";"3";"1998-04-17 15:56:03"
"215";"443";"4";"1998-04-01 10:16:06"
"874";"302";"5";"1998-02-27 23:14:58"
"292";"631";"5";"1997-12-02 20:36:18"
"903";"405";"4";"1998-03-27 17:47:58"
"269";"805";"2";"1998-04-01 14:10:23"
"98";"209";"2";"1997-11-25 20:02:15"
"11";"455";"3";"1998-04-06 20:04:22"
"661";"274";"4";"1997-10-05 04:39:59"
"643";"282";"3";"1998-04-01 12:40:30"
"727";"98";"4";"1998-01-02 00:02:32"
"52";"111";"4";"1997-12-23 21:12:37"
"222";"276";"5";"1997-10-22 20:39:10"
"326";"780";"2";"1997-11-18 15:22:06"
"645";"1159";"4";"1998-04-08 13:57:12"
"724";"300";"3";"1998-01-02 13:11:08"
"851";"303";"4";"1998-03-25 02:42:49"
"536";"191";"4";"1997-12-17 09:03:07"
"593";"966";"5";"1998-01-30 17:56:28"
"934";"168";"4";"1998-03-29 14:17:55"
"651";"995";"1";"1997-11-21 12:35:47"
"103";"98";"3";"1997-11-24 22:16:05"
"712";"102";"4";"1997-09-22 16:29:03"
"145";"69";"5";"1997-12-15 07:27:12"
"815";"163";"4";"1997-11-04 23:10:41"
"279";"517";"4";"1997-11-15 02:48:13"
"478";"196";"3";"1998-03-08 19:25:21"
"709";"232";"5";"1997-11-18 07:23:10"
"682";"824";"1";"1998-02-26 16:38:27"
"429";"789";"4";"1997-12-17 16:04:03"
"833";"185";"5";"1997-09-23 15:30:16"
"320";"77";"3";"1998-01-14 01:14:06"
"836";"1065";"4";"1998-01-25 15:50:31"
